id,facebook_field,odoo_field_id:id
mapping_company_name,company_name,crm.field_crm_lead__partner_name
mapping_full_name,full_name,vkd_crm_facebook_leads.field_crm_lead__full_name
mapping_first_name,first_name,vkd_crm_facebook_leads.field_crm_lead__full_name
mapping_full_name_spaced,full name,vkd_crm_facebook_leads.field_crm_lead__full_name
mapping_email,email,crm.field_crm_lead__email_from
mapping_email_address,email_address,crm.field_crm_lead__email_from
mapping_phone,phone,crm.field_crm_lead__phone
mapping_phone_number,phone_number,crm.field_crm_lead__phone
mapping_contact_number,contact_number,vkd_crm_facebook_leads.field_crm_lead__contact_number
mapping_work_phone_number,work_phone_number,vkd_crm_facebook_leads.field_crm_lead__additional_phone_number
mapping_another_contact_number,can_you_share_another_contact_number?,vkd_crm_facebook_leads.field_crm_lead__additional_phone_number
mapping_whatsapp_number,whatsapp_number,vkd_crm_facebook_leads.field_crm_lead__whatsapp_number
mapping_how_can_i_contact_you,how_can_i_contact_you?,vkd_crm_facebook_leads.field_crm_lead__whatsapp_number
mapping_share_whatsapp_number,can_you_share_your_whatsapp_number?,vkd_crm_facebook_leads.field_crm_lead__whatsapp_number
mapping_whatsapp_country_code,please_enter_your_whatsapp_number_here_with_country_code_(ex_+94xxxxxxxx),vkd_crm_facebook_leads.field_crm_lead__whatsapp_number
mapping_whatsapp_sinhala,ඔබව_සම්බන්ද_කරගත_හැක්කේ_කෙසේද_?,vkd_crm_facebook_leads.field_crm_lead__whatsapp_number
mapping_convenient_time_to_contact,what_is_convenient_time_to_contact?,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_convenient_time_slot,your_convenient_time_slot_for_the_appointment,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_preferred_time,your_preferred_time,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_best_time_to_call,what_is_the_best_time_to_call_you?,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_best_time_to_call_2,what_is_the_best_time_to_call_you?_,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_time_planning_to_visit,the_time_you_are_planning_to_visit,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_time_planning_to_visit_2,the_time_you_are_planning_to_visit_,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_preferred_date,preferred_date,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_preferred_date_time,preferred_date_&_time,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_preferred_date_appointment,your_preferred_date_for_the_appointment,vkd_crm_facebook_leads.field_crm_lead__appointment_date
mapping_best_time_sinhala,ඔබව_සම්බන්ද_කරගැනීමට_පහසු_වේලාව?,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_reserve_slot_13,13th_june_2026_|_reserve_your_slot,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_reserve_slot_14,14th_june_2026_|_reserve_your_slot,vkd_crm_facebook_leads.field_crm_lead__best_contact_time
mapping_purpose,purpose,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_purpose_of_inquiry,purpose_of_your_inquiry,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_purpose_buying_apartment,what_is_your_purpose_for_buying_this_apartment?,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_event,event,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_looking_for_right_now,what_are_you_looking_for_right_now?,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_planning_to_buy,when_are_you_planning_to_buy?,vkd_crm_facebook_leads.field_crm_lead__purpose
mapping_budget_range_select,select_your_budget_range,vkd_crm_facebook_leads.field_crm_lead__budget
mapping_budget_range,what_is_your_budget_range?,vkd_crm_facebook_leads.field_crm_lead__budget
mapping_invest_amount,could_you_please_share_how_much_you’re_planning_to_invest_in_the_apartment?,vkd_crm_facebook_leads.field_crm_lead__budget
mapping_perches_sinhala,අවශ්‍ය_පර්චස්_ප්‍රමාණය_කොපමණද?,vkd_crm_facebook_leads.field_crm_lead__desired_number_of_perches
mapping_job_title,job_title,vkd_crm_facebook_leads.field_crm_lead__job_title
